Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Jun 2022,2022-06-30,0.0,115598.0,9633.16664,0.0,52256.86,0.0,52256.86,52256.86,0.0,108809.36
Jul 2022,2022-07-29,0.0,122124.49,10177.040514,0.0,3971.57,0.0,3971.57,3971.57,0.0,122298.69
Aug 2022,2022-08-30,0.0,131755.06,10979.588146,0.0,0.0,0.0,0.0,0.0,0.0,131755.06
Sep 2022,2022-09-30,0.0,126775.86,10564.655283,0.0,9296.41,0.0,9296.41,9296.41,0.0,126572.15
Oct 2022,2022-10-31,0.0,127397.03,10616.419501,0.0,10234.03,0.0,10234.03,10234.03,0.0,127434.3
Nov 2022,2022-11-30,0.0,126370.86,10530.905362,0.0,4444.6,0.0,4444.6,4444.6,0.0,126462.28
Dec 2022,2022-12-30,0.0,124522.68,10376.890084,0.0,9987.15,0.0,9987.15,9987.15,0.0,127058.52
Jan 2023,2023-01-31,0.0,129366.78,10780.564996,0.0,2129.31,0.0,2129.31,2129.31,0.0,129351.56
Feb 2023,2023-02-28,0.0,123355.75,10279.645535,0.0,2868.15,0.0,2868.15,2868.15,0.0,123282.05
Mar 2023,2023-03-31,0.0,123323.77,10276.981248,0.0,647.32,0.0,647.32,647.32,0.0,123357.31
Apr 2023,2023-04-28,0.0,135526.28,11293.856634,0.0,721.22,0.0,721.22,721.22,0.0,135603.6
May 2023,2023-05-31,0.0,140254.15,11687.84581,0.0,577.66,0.0,577.66,577.66,0.0,140311.81
Jun 2023,2023-06-30,0.0,153558.6,12796.550183,0.0,9188.27,0.0,9188.27,9188.27,0.0,153622.76
Jul 2023,2023-07-31,0.0,163163.67,13596.972517,0.0,6078.19,0.0,6078.19,6078.19,0.0,163331.39
Aug 2023,2023-08-31,0.0,178626.58,14885.548732,0.0,1979.34,0.0,1979.34,1979.34,0.0,178817.67
Sep 2023,2023-09-29,0.0,177210.19,14767.515495,0.0,634.46,0.0,634.46,634.46,0.0,177216.0
Oct 2023,2023-10-31,0.0,177395.54,14782.961302,0.0,87.87,0.0,87.87,87.87,0.0,177394.82
Nov 2023,2023-11-30,0.0,193650.92,16137.57629,0.0,2694.95,0.0,2694.95,2694.95,0.0,193925.88
Dec 2023,2023-12-29,0.0,209292.01,17441.000789,0.0,0.0,0.0,0.0,0.0,0.0,209292.01
Jan 2024,2024-01-31,0.0,218197.12,18183.093661,0.0,26571.92,0.0,26571.92,26571.92,0.0,217988.29
Feb 2024,2024-02-29,0.0,218205.49,18183.791241,0.0,2361.14,0.0,2361.14,2361.14,0.0,218205.61
Mar 2024,2024-03-28,0.0,217226.5,18102.208424,0.0,2109.61,0.0,2109.61,2109.61,0.0,217163.49
Apr 2024,2024-04-30,0.0,243167.48,20263.956258,0.0,4961.6,0.0,4961.6,4961.6,0.0,243639.34
May 2024,2024-05-31,0.0,246947.53,20578.961014,0.0,8344.38,0.0,8344.38,8344.38,0.0,247795.46
Jun 2024,2024-06-28,0.0,277752.24,23146.019907,0.0,3974.56,0.0,3974.56,3974.56,0.0,277842.29
Jul 2024,2024-07-31,0.0,282832.51,23569.375966,0.0,12796.38,0.0,12796.38,12796.38,0.0,283582.06
Aug 2024,2024-08-30,0.0,281835.13,23486.260867,0.0,9503.69,0.0,9503.69,9503.69,0.0,282631.54
Sep 2024,2024-09-30,0.0,281396.01,23449.66715,0.0,3492.56,0.0,3492.56,3492.56,0.0,281190.71
Oct 2024,2024-10-31,0.0,261348.18,21779.014688,0.0,2555.9,0.0,2555.9,2555.9,0.0,261090.08
Nov 2024,2024-11-29,0.0,272606.73,22717.227881,0.0,2239.63,0.0,2239.63,2239.63,0.0,272687.63
Dec 2024,2024-12-31,0.0,270081.12,22506.760339,0.0,3023.73,0.0,3023.73,3023.73,0.0,270305.91
Jan 2025,2025-01-31,0.0,251363.7,20946.975349,0.0,448.83,0.0,448.83,448.83,0.0,251330.31
Feb 2025,2025-02-28,0.0,212545.56,17712.130232,0.0,6878.77,0.0,6878.77,6878.77,0.0,211821.61
Mar 2025,2025-03-31,0.0,224719.6,18726.633175,0.0,578.38,0.0,578.38,578.38,0.0,224813.68
Apr 2025,2025-04-30,0.0,234984.45,19582.037449,0.0,9385.69,0.0,9385.69,9385.69,0.0,235067.74
May 2025,2025-05-30,0.0,250220.03,20851.669544,0.0,1811.19,0.0,1811.19,1811.19,0.0,250428.1
Jun 2025,2025-06-30,0.0,259798.79,21649.898761,0.0,2418.32,0.0,2418.32,2418.32,0.0,259835.0
Jul 2025,2025-07-31,0.0,251790.08,20982.506571,0.0,6761.44,0.0,6761.44,6761.44,0.0,252245.46
Aug 2025,2025-08-29,0.0,250093.12,20841.093235,0.0,11217.95,0.0,11217.95,11217.95,0.0,249921.57
Sep 2025,2025-09-30,0.0,268279.79,22356.649551,0.0,13832.05,0.0,13832.05,13832.05,0.0,268719.94
